Ship,Flag,Sunk date,Notes,Coordinates
USS Tide,United States Navy,7-Jun-44,An Auk-class minesweeper sunk by a mine off Îles Saint-Marcouf.,
Train Ferry No. 2,Royal Navy,13-Jun-40,"A train ferry that was requisitioned by the Royal Navy as an amphibious warfare ship, and was sunk by German gunfire off Sainte-Marguerite-sur-Mer.[1]",49°56′N 00°56′E
U-151,Royal Navy,7-Jun-21,A German submarine sunk as a target at Cherbourg.,
UC-78,Imperial German Navy,9-May-18,A German minelaying submarine rammed by off Cherbourg.,
HMAT Warilda,Royal Australian Navy,3-Aug-18,An Australian hospital ship torpedoed by U-boat UC-49 off Le Havre.,
West Cheswald,United States Navy,11-Jun-44,A cargo ship scuttled off Utah Beach as a breakwater.,
West Grama,United States Navy,8-Jun-44,A cargo ship scuttled off Omaha Beach as a breakwater.,
West Honaker,United States Navy,8-Jun-44,A cargo ship scuttled off Utah Beach as a breakwater.,
West Nohno,United States Navy,11-Jun-44,A cargo ship scuttled off Utah Beach as a breakwater.,
White Ship,,25 November 1120,A 12th century vessel that sank in the English Channel near the Normandy coast off Barfleur.,
HMS Alcmene,Royal Navy,29 April 1809,An Alcmene-class frigate wrecked off Nantes.,
USS Buchanan,United States Navy,29-Mar-42,A Wickes-class destroyer that was deliberately blown up in the St Nazaire Raid.,
Héros (1750),French Navy,21 September 1759,A ship of the line wrecked off Le Croisic.,
RMS Lancastria,United Kingdom,17-Jun-40,A Cunard Liner sunk in the Loire River estuary during World War II.,
Saint-Philibert,France,14-Jun-31,"A cruise ship that sank off the Île de Noirmoutier, resulting in the death of nearly 500 passengers.",
Sachsenwald,Kriegsmarine,6-Aug-44,A German weather ship that was sunk by a British convoy off Île d'Yeu.,
U-268,Kriegsmarine,19-Feb-43,A Type VIIC U-boat sunk by depth charges off Nantes.,
U-51,Kriegsmarine,20-Aug-40,A Type VIIB U-boat torpedoed by HMS Cachalot off Saint-Nazaire.,
U-736,Kriegsmarine,6-Aug-44,A Type VIIC U-boat sunk by HMS Loch Killin off Saint-Nazaire.,
HMS Atalante,Royal Navy,12 February 1807,A brig-sloop wrecked off Île de Ré.,
U-107,Kriegsmarine,18-Aug-44,A Type IXB U-boat sunk by depth charges off La Rochelle.,
U-263,Kriegsmarine,20-Jan-44,A Type VIIC U-boat that was sunk during a deep dive trial off La Rochelle.,
U-667,Kriegsmarine,25-Aug-44,A Type VIIC U-boat that struck a mine off Oléron.,
Espingole,French Navy,4-Feb-03,A Durandal-class destroyer that struck a rock near Cavalaire-sur-Mer.,43°09′20″N 06°36′30″E
Héros,French Navy,18 December 1793,A ship of the line that was scuttled by fire at Toulon.,
L'Indomptable,Vichy French Navy,27-Nov-42,A Le Fantasque-class destroyer that was scuttled at Toulon to avoid capture (see Scuttling of the French fleet in Toulon).,
Madrague de Giens,,75–60 BCE,"A Roman merchantman sunk off the coast of La Madrague de Giens, east of Toulon.",43°2′N 06°6′E
Magenta,French Navy,31 October 1875,An ironclad warship that exploded in the military harbour of Toulon.,
U-303,Kriegsmarine,21-May-43,A Type VIIC U-boat that was torpedoed by HMS Sickle off Toulon.,42°50′N 06°00′E
HMS Drake,Royal Navy,2-Oct-17,Torpedoed by U-79 in Rathlin Sound.,
Girona,Spanish Navy,26 October 1588,"Foundered and sank off Lacada Point, County Antrim.",
Lagan,United Kingdom,Mar-46,Sank in collision off Belfast Lough.[1],
Normanby Hall,United Kingdom,8-Oct-65,Foundered and sunk off Kilroot.,
MV Princess Victoria,United Kingdom,31-Jan-53,Foundered in heavy seas off the Copeland Islands.,
State of Louisiana,United Kingdom,28 December 1878,A passenger liner that ran aground on Hunter Rock.,
Tiberia,United Kingdom,26-Feb-18,"A merchant ship torpedoed and sunk by SM U-19 off Black Head near Larne, County Antrim.",
Tullaghmurray Lass,United Kingdom,2-Feb,A Kilkeel fishing boat that sank after a gas explosion.,
MV Akka,Sweden,9-Apr-56,Ran aground and was wrecked in the River Clyde.,
Annie Jane,United Kingdom,28 September 1853,"Sank off Vatersay, Outer Hebrides in a gale, with the loss of 350 lives.[2]",
RMS Aurania,United Kingdom,4-Feb-18,An ocean liner that was torpedoed by UB-67 off the coast of Ireland.,
Avondale Park,Canada,7-May-45,A cargo ship that was sunk by U-2336 south of the Isle of May.,
Ben Doran,United Kingdom,30-Mar-30,"An Aberdeen trawler that wrecked on the Ve Skerries, Shetland, killing the ~9 crew.[3]",
SS Breda,Netherlands,23-Dec-40,"Dutch cargo ship, sunk by two Heinkel 111 bombers in Ardmucknish Bay off Oban.",
SMS Brummer,Imperial German Navy,21-Jun-19,A Brummer-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,
HMS Caribbean,Royal Navy,27-Nov-15,Sank 35 miles (56 km) off Cape Wrath due to bad weather.,
MV Cemfjord,Cyprus,2-Feb-15,A cargo ship that foundered 12 nautical miles (22 km) east of Muckle Skerry.,
Coelleira,United Kingdom,4-Aug-19,"A Spanish-owned, UK-registered longliner that wrecked on the Ve Skerries, Shetland.[4]",
SMS Cöln,Imperial German Navy,21-Jun-19,A Cöln-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,
MV Craigantlet,United Kingdom,26-Feb-82,"British container ship ran aground at Killantringan lighthouse, Wigtownshire.",
HMS Dartmouth,Royal Navy,9 October 1690,A frigate wrecked in the Sound of Mull.,
HMS Dasher,Royal Navy,27-Mar-43,Aircraft carrier sunk by a major internal explosion. Lies in the Clyde estuary.,
SS Desabla,United Kingdom,12-Jun-15,"Intercepted and sunk by German submarine SM U-17, 35 miles (56 km) off Montrose.",
SMS Dresden,Imperial German Navy,21-Jun-19,A Cöln-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,
Elinor Viking,United Kingdom,9-Dec-77,"An Aberdeen trawler that wrecked on the Ve Skerries, Shetland.[5]",
SS Empire Conveyor,United Kingdom,22-Jun-40,A cargo ship torpedoed by U-122 off Barra Head.,
Flying Phantom,United Kingdom,19-Dec-07,A tug that sank in foggy conditions in the River Clyde at Clydebank.,
HMS Goldfinch,Royal Navy,19-Feb-15,An Acorn-class destroyer wrecked at Start Point.,
El Gran Grifón,Spanish Navy,27 September 1588,A ship of the Spanish Armada that was wrecked on Fair Isle.,
SS Gracechurch,United Kingdom,16-Aug-40,"A cargo ship that was torpedoed by U-32 off Lewis, Outer Hebrides.",
HMS Graph,Royal Navy,20-Mar-44,"Formerly the German U-boat U-570. Captured and taken into Royal Navy service in 1942, she ran aground and was wrecked on Islay in 1944.",
HMS Hampshire,Royal Navy,5-Jun-16,British armoured cruiser that struck a mine off Orkney.,
SS Hispania,Sweden,18-Dec-54,A Swedish steamboat that struck rocks in the Sound of Mull.,
HMS Imogen,Royal Navy,16-Jul-40,An I-class destroyer that collided with HMS Glasgow off Duncansby Head.,
SS Inkosi,United Kingdom,28-Mar-18,A steamship that was torpedoed by U-96 south of Burrow Head.[6],
HMS Iolaire,Royal Navy,1-Jan-19,An admiralty yacht sank in The Minch outside Stornoway harbour with the loss of 205 men returning from World War I.,
SS John Randolph,United States,5-Sep-52,"Struck a mine on 5 July 1942 in the Denmark Strait. The forepart was salved but broke tow on 1 September 1952 and was later wrecked at Torrisdale Bay, Sutherland on 5 September.[7][8][9]",
SMS Karlsruhe,Imperial German Navy,21-Jun-19,A Königsberg-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,
HMS King Edward VII,Royal Navy,6-Jan-16,A King Edward VII-class battleship that struck a mine laid by SMS Möwe off Cape Wrath.,
SMS König,Imperial German Navy,21-Jun-19,A König-class battleship that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,
SMS Kronprinz,Imperial German Navy,21-Jun-19,A König-class battleship that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,
SS Leadgate,United Kingdom,8-Mar-43,A straggler from Convoy SC 121 that was hit by a torpedo from U-642 and sank west of the Hebrides. The master and 25 crewmembers were lost.,
SMS Markgraf,Imperial German Navy,21-Jun-19,A König-class battleship that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,
Orion,United Kingdom,June 1850,A paddle steamer that sank off Wigtownshire.,
HMS Port Napier,Royal Navy,27-Nov-40,"British minelayer ran aground in the Kyle of Lochalsh, caught fire while being unloaded, destroyed by explosion.",
SS The Ramsey,Royal Navy,8-Aug-15,An armed boarding steamer that was sunk by SMS Meteor northeast of Fair Isle.,
TSS Roebuck,Royal Navy,13-Jan-15,"A minesweeper that sank following a collision with HMS Imperieuse in Scapa Flow, near Longhope.",
Rondo,Norway,25-Jan-35,Sunk in the Sound of Mull in a storm.,
HMS Royal Oak,Royal Navy,14-Oct-39,"A Revenge-class battleship torpedoed in Scapa Flow by U-47, with 833 deaths.",
San Juan de Silicia,Spanish Navy,5 November 1588,A ship of the Spanish Armada that was blown up at Tobermory.,
HMS Sealion,Royal Navy,13-Mar-45,An S-class submarine scuttled off the Isle of Arran.,
SS Seniority,United Kingdom,8-Nov-50,A cargo ship that sank off the Bo Vich Chuan Rock in the Outer Hebrides.,
SS St. Sunniva,United Kingdom,10-Apr-30,A cruise ship that ran aground on the island of Mousa.,
Swan,Royal Navy,13 September 1653,A warship that sunk in a storm while anchored off Duart Castle.,
SS Thesis,United Kingdom,16 October 1889,A steamship that ran aground on a reef in the Sound of Mull.,
SS Tuscania,United Kingdom,5-Feb-18,"An ocean liner that was torpedoed by UB-77 off Islay, Inner Hebrides.",
U-33,Kriegsmarine,12-Feb-40,A Type VIIA U-boat that was sunk by HMS Gleaner in the Firth of Clyde.,
U-297,Kriegsmarine,6-Dec-44,"A Type VIIC/41 U-boat that was sunk by a British Short Sunderland flying boat of No. 201 Squadron RAF 16 nautical miles (30 km) west of Yesnaby, Orkney Islands.",
U-714,Kriegsmarine,14-Mar-45,German U-Boat sunk by depth charges from the South African frigate HMSAS Natal. She was discovered in the Firth of Forth in 2007.,
U-722,Kriegsmarine,27-Mar-45,"A Type VIIC U-boat that was sunk in the Sea of the Hebrides by HMS Fitzroy, HMS Redmill and HMS Byron.",
U-1206,Kriegsmarine,14-Apr-45,"A Type VIIC U-boat that sprung a leak and sank off Cruden Bay, Aberdeenshire.",
UB-116,Imperial German Navy,28-Oct-18,A Type UB III U-boat that was sunk by a mine while attempting to enter the Scapa Flow.,
Unknown shipwreck,Unknown,Unknown,Found in 2000.[10],
Valkyrie II,United Kingdom,5 July 1894,A cutter that collided with Satanita on the Firth of Clyde.,
HMS Vandal,Royal Navy,24-Feb-43,A U-class submarine sunk off Lochranza four days after commissioning.,
HMS Vanguard,Royal Navy,9-Jul-17,"A St. Vincent-class battleship that exploded and sank at Scapa Flow, with about 804 deaths.",
Varyag,Imperial Russian Navy,1925,A Russian protected cruiser that ran aground and sank in the Firth of Clyde.,
HMS Vivid,Royal Navy,8-Jul-13,"A training ship of the Royal Technical College, Glasgow, ran aground and wrecked at Colonsay of her first voyage as a training ship.",
Amazonese,Unknown,15 April 1881,A cargo steamship that ran aground at St. David's Head.,
SS Behar,United Kingdom,24-Nov-40,"A 6,100 ton steamer, 436 ft (133 m) in length, with a cargo of 4,700 tons of government stores, allegedly including Harley Davidson motorbikes. Sunk by magnetic parachute mine in Milford Haven, Pembrokeshire.[11]",
Calburga,Canada,13-Nov-15,A Canadian barque that ran aground in a gale off Strumble Head.,
SS Castilian,United Kingdom,12-Feb-43,"A cargo ship that ran aground off The Skerries, Anglesey.",
HMS Conway,Royal Navy,14-Apr-53,A training ship wrecked near Menai Bridge.,
SS Dakotian,United Kingdom,21-Nov-40,"A 6,400 ton steamer, 400 ft (120 m) in length, with a cargo of 1,300 tons of tinplate. Sunk by magnetic parachute mine approx 1-nautical-mile (1.9 km) west of Dale in Milford Haven, Pembrokeshire.",
Diamond,United States,2 January 1825,"A protected wrecksite; a three-masted square rigger with a composite hull, forerunner of the Ocean liners, lost in Cardigan Bay.",
MV Empire Beacon,United Kingdom,5-Apr-42,A coastal trading vessel that struck a mine off Pembrokeshire.,51°41′N 5°10′W﻿ / ﻿51.683°N 5.167°W﻿ / 51.683; -5.167﻿ (MV E
Faraday,United Kingdom,25-Mar-41,"A cable layer that was attacked by a Heinkel He 111 off Milford Haven, Pembrokeshire, and sank the following day off St Anne's Head. It is now a protected wreck.",
Herefordshire,United Kingdom,15-Mar-34,"Former Bibby Line liner, 7,000 tons, on passage to breakers, lost tow in a storm and ran aground on Cardigan Island; no lives lost, but rats destroyed puffin and Manx shearwater colonies; lies in 12m of water.[12]",
PS Lelia,Confederate States Navy,14 January 1865,A steamship that sank in a storm off the Great Orme.,
Loch Shiel(aka Whiskey Wreck),United Kingdom,30 January 1877,"A 1,218 ton rigged sailing ship, 225 ft (69 m) in length, with a cargo of 7,000 cases of whiskey, beer & general goods. Ran aground at Thorne Island in Milford Haven, Pembrokeshire. Now at a depth of 25 feet (7.6 m), is very broken up, but the brick ballast is still visible.[13]",
Lucy,Netherlands,14-Feb-67,"A 52 metres (171 ft) coaster, sank off Skomer Island, Pembrokeshire, while carrying a cargo of calcium carbide from Uddevalla, Sweden to Barry.[14][15]",
HMY Mary,Royal Navy,25 March 1675,"A protected wrecksite; the first British Royal Yacht, hit rocks in fog off Anglesey.",
Ocean Monarch,United States,25 August 1848,A barque that caught fire and sank northeast of Llandudno.,
Pacific,United States,January 1856,A Collins Line transatlantic steamer that sank (possibly in the Irish Sea) from unknown causes. Wreck found in 1986.,
SV Paul,Germany,30-Oct-25,A four masted windjammer that was wrecked on the Cefn Sidan sands.,
Resurgam II,United Kingdom,25 February 1880,A protected wrecksite near Rhyl.,
PS Rothsay Castle,United Kingdom,18 August 1831,A paddle steamer that ran aground and broke up at the eastern end of the Menai Strait in 1831.,
Royal Charter,United Kingdom,26 October 1859,"A steam clipper driven onto rocks near Moelfre, Anglesey.",
SS Samtampa,United States,23-Apr-47,A steamship wrecked off Sker Point.,
MV Swanland,Cook Islands,27-Nov-11,Sank after hitting a large wave following gale force 8 conditions 20 nautical miles (37 km) off the coast of Anglesey.,
U-58,Imperial German Navy,17-Nov-17,A Type U 57 U-boat that was sunk by USS Fanning in the action of 17 November 1917.,
U-1302,Kriegsmarine,7-Mar-45,"A Type VIIC/41 U-boat that was sunk by depth charges from the Canadian frigates HMCS La Hulloise, Strathadam and Thetford Mines in St. George's Channel.",
SS Walter L M Russ,United Kingdom,15-Jul-45,A German cargo ship that was captured by the Allies and ran aground on Grassholm.,
HMS Whirlwind,Royal Navy,29-Oct-74,A W-class destroyer that was sunk as a target in Cardigan Bay.,
HMS Dundalk,Royal Navy,16-Oct-40,A Hunt-class minesweeper that struck a mine and foundered under tow off Harwich.,52°3′N 1°48′E
Terukuni Maru,Japan,19-Nov-39,A Japanese ocean liner that struck a German mine off Harwich.,51°50′N 01°30′E
HMT Agate,Royal Navy,6-Aug-41,A trawler that ran aground on Haisborough Sands.,52°53′N 01°43′E
Alf,Norway,23-Nov-09,A Norwegian barque that ran aground on Haisborough Sands.,52°54′N 01°43′E
Cantabria,Spain,2-Nov-38,"A Spanish cargo ship that was sunk by the Spanish Nationalist auxiliary cruiser Nadir northeast of Cromer, during the Spanish Civil War.",53°1′58″N 1°31′57″E
English Trader,United Kingdom,26-Oct-41,A merchant ship grounded on Hammond Knoll.,
HMT Force,Royal Navy,27-Jun-41,A naval trawler that was sunk by German aircraft off Winterton Ness.,52°48′55″N 001°47′48″E
Gallois,United Kingdom,6-Aug-41,A merchant vessel that ran aground on Haisborough Sands.,52°54′N 01°43′E
Georgia,Netherlands,20-Nov-27,An oil tanker that ran aground on Haisborough Sands.,52°52′54″N 001°46′16″E
HMS Gloucester,Royal Navy,1682,A third rate ship that sank off Great Yarmouth.,
Hibernia,United Kingdom,9-Nov-37,A spritsail that foundered off East Runton.,
Hopelyn,United Kingdom,17-Oct-22,A merchant vessel that was stranded on the Scroby Sands.,52°37′N 01°47′E
HMS Invincible,Royal Navy,16 March 1801,A third rate warship that struck rocks off Happisburgh.,
